"Month","StatisticalArea","EmploymentGrowth","UnemploymentRate","ParticipationRate"
1999-09-01,"Brisbane - East","n.a.",7.36824107671949,66.1192594791983
1999-10-01,"Brisbane - East","0.795545937550401",7.2183516970317,66.3912291107833
1999-11-01,"Brisbane - East","0.755058574038898",6.95570826937979,66.5536841376349
1999-12-01,"Brisbane - East","0.805701843051864",6.60982881360859,66.6875468626041
2000-01-01,"Brisbane - East","0.322743039407598",6.4855558613788,66.657674636547
2000-02-01,"Brisbane - East","0.204659549753188",6.62151151901705,66.7324009250628
2000-03-01,"Brisbane - East","0.327547446441542",6.41233380748476,66.6403186597311
2000-04-01,"Brisbane - East","0.0558437917665486",6.21407506187734,66.3742338969645
2000-05-01,"Brisbane - East","0.0782276968414095",6.11252109370712,66.1904618319375
2000-06-01,"Brisbane - East","-0.157759222589831",6.0469726082307,65.8748199347152
2000-07-01,"Brisbane - East","0.157541840290335",5.98285166664416,65.7660981849066
2000-08-01,"Brisbane - East","-0.219829915595525",6.02421351219558,65.4810409898219
2000-09-01,"Brisbane - East","-0.105311136236466",6.11295214760445,65.3023604091025
2000-10-01,"Brisbane - East","-0.325442010362721",6.06690323380585,64.8863968247005
2000-11-01,"Brisbane - East","-0.332158615610581",6.23260943984961,64.6130366281238
2000-12-01,"Brisbane - East","-0.197316892259664",6.29494201293099,64.3560350906877
2001-01-01,"Brisbane - East","0.325346691389242",6.12921566381574,64.2761301556391
2001-02-01,"Brisbane - East","0.365607702445686",5.85138198743112,64.1429506832727
2001-03-01,"Brisbane - East","0.401374092327302",5.81741215719323,64.1961333237234
2001-04-01,"Brisbane - East","0.454378890361284",5.99974123515914,64.4283417190608
2001-05-01,"Brisbane - East","0.478277593573168",6.08823548305716,64.6097870602085
2001-06-01,"Brisbane - East","0.609171875703424",6.39095837048907,65.0219190594735
2001-07-01,"Brisbane - East","0.244379296200819",6.55258280336925,65.1036223623989
2001-08-01,"Brisbane - East","0.396574974741597",6.68913932856491,65.2690526551966
2001-09-01,"Brisbane - East","0.109307653300419",6.78279572024822,65.2198474585465
2001-10-01,"Brisbane - East","0.342489971992819",7.11457354891545,65.4914606847773
2001-11-01,"Brisbane - East","0.237114046230971",7.17584541610764,65.5058135652487
2001-12-01,"Brisbane - East","0.185551740987904",7.54614253288332,65.706779477208
2002-01-01,"Brisbane - East","-0.320466712843185",7.84689502288383,65.5308475612391
2002-02-01,"Brisbane - East","-0.180296114697569",8.05427080222782,65.3851764403064
2002-03-01,"Brisbane - East","-0.282621206430818",8.24328710529214,65.1640159031888
2002-04-01,"Brisbane - East","-0.224718563177362",8.19189223935987,64.8124947643837
2002-05-01,"Brisbane - East","-0.539718577296355",8.49275924093917,64.507489442657
2002-06-01,"Brisbane - East","-0.352980735360262",8.58674885315603,64.1806287056484
2002-07-01,"Brisbane - East","-0.434388588619115",8.56816611097807,63.7222534953223
2002-08-01,"Brisbane - East","-0.0441239441381214",8.4309301741925,63.430735269607
2002-09-01,"Brisbane - East","-0.369280908548305",8.47766212127588,63.0593138590663
2002-10-01,"Brisbane - East","-0.372335347889077",8.27299700474741,62.5143522434468
2002-11-01,"Brisbane - East","-0.29580673517134",8.16855121911126,62.0879165066676
2002-12-01,"Brisbane - East","0.272548416824179",7.83919589802309,61.8626569309304
2003-01-01,"Brisbane - East","0.762881828985073",7.69413937981244,62.0628116881494
2003-02-01,"Brisbane - East","0.401541923191132",7.63778154166313,62.0989114803831
2003-03-01,"Brisbane - East","0.378992915870697",7.47777543479744,62.0502931418489
2003-04-01,"Brisbane - East","-0.0912713645867456",7.59164241009126,61.8953239069017
2003-05-01,"Brisbane - East","0.647402348109068",7.34502048668774,61.9563946500419
2003-06-01,"Brisbane - East","1.03180693773193",7.08027376811726,62.2435726329537
2003-07-01,"Brisbane - East","1.13922305525939",7.03124037745751,62.747566424566
2003-08-01,"Brisbane - East","1.06290615229314",6.82236984650272,63.1024844577545
2003-09-01,"Brisbane - East","1.49745125524015",6.53169320889399,63.6800172718468
2003-10-01,"Brisbane - East","1.22481939117701",6.36997939151925,64.181956678115
2003-11-01,"Brisbane - East","1.13554925668977",6.39507308727594,64.762789360827
2003-12-01,"Brisbane - East","0.872606359837278",6.44803346296746,65.20127843898
2004-01-01,"Brisbane - East","0.777979582292289",6.37251836551503,65.494174120805
2004-02-01,"Brisbane - East","0.700464727883769",6.29297972196833,65.7379042695268
2004-03-01,"Brisbane - East","0.801973245414644",6.15523284413657,66.0111008426194
2004-04-01,"Brisbane - East","0.86567339259156",5.81866666231886,66.1904748563952
2004-05-01,"Brisbane - East","0.186342829510224",5.71302692237473,66.0885651851068
2004-06-01,"Brisbane - East","0.0798965474889428",5.5287483263534,65.8649284499971
2004-07-01,"Brisbane - East","0.193519155501917",5.15255232400443,65.5875309211707
2004-08-01,"Brisbane - East","-0.108812878636172",5.02733701100331,65.2908230378269
2004-09-01,"Brisbane - East","0.106614863734066",4.87159489803272,65.1184492454095
2004-10-01,"Brisbane - East","0.16530849485126",4.76652194161024,65.021815973008
2004-11-01,"Brisbane - East","0.00114931278787367",4.490066301696,64.7054444510241
2004-12-01,"Brisbane - East","-0.0523832926017178",4.34037485243989,64.4443705250164
2005-01-01,"Brisbane - East","0.313131075262902",4.22748345024675,64.4451620867129
2005-02-01,"Brisbane - East","0.415460593842582",4.02106262935093,64.4501958785681
2005-03-01,"Brisbane - East","0.256404319533999",3.97252780585357,64.4604030674049
2005-04-01,"Brisbane - East","0.626947316670282",4.01402784318616,64.7706965742628
2005-05-01,"Brisbane - East","0.524092645960621",3.89237048208077,64.9069715796959
2005-06-01,"Brisbane - East","0.225583205339234",3.95155046443013,64.9737046552061
2005-07-01,"Brisbane - East","0.460023739344351",4.11667923410834,65.2649623313732
2005-08-01,"Brisbane - East","0.465920753310826",4.28670026668185,65.5656794202705
